8.067	7.920	7.990	8.176	8.048	8.182	8.003	7.733	7.618	7.011	7.063	7.056	7.218	6.888	6.862	6.667	6.764	6.686	6.842	7.173	7.160	6.875	7.308	8.502	11.091	11.592	12.201	12.311	12.562	12.745	13.068	12.611	9.528	8.086	7.669	7.114	6.543	6.965	6.862	6.914	6.660	6.406	6.940	6.823	6.745	7.069	7.495	8.972	9.761	10.119	9.149	8.169	8.182	8.131	7.766	7.082	7.011	7.257	7.341	7.166	7.360	7.746	7.482	7.334	7.328	6.881	6.751	6.446	6.537	6.530	6.367	6.485	6.419	6.472	6.282	6.530	6.517	6.472	6.693	6.478	6.374	6.602	6.556	6.946	6.790	6.576	6.419	6.524	6.341	6.465	6.524	6.738	6.693	6.660	6.764	6.498	6.751	6.498	6.615	6.589	6.543	6.413	6.472	6.628	6.432	6.537	6.348	6.413	6.387	6.582	6.478	6.315	6.550	6.732	6.810	6.686	6.465	6.485	6.446	6.439	6.628	6.498	6.530	6.387	6.680	6.745	6.504	6.894	6.706	6.758	6.582	6.758	6.400	6.634	6.641	6.660	6.823	6.615	6.693	7.050	6.582	6.719	6.732	6.751	6.621	6.569	7.030	7.528	7.682	7.392	7.470	7.173	7.353	7.586	7.405	7.295	7.695	7.875	7.592	7.515
10.426	10.837	11.172	11.246	11.389	12.201	10.544	8.584	7.817	7.179	7.198	7.127	7.089	6.641	6.556	6.654	6.660	6.550	6.328	6.621	6.439	6.803	6.816	6.972	9.225	11.531	11.980	12.574	12.812	12.702	12.794	12.635	9.453	8.552	7.945	7.470	7.347	7.418	7.360	7.605	7.682	7.457	7.560	7.444	7.463	7.127	7.476	7.502	7.643	7.669	7.598	7.656	7.224	7.024	7.063	7.043	6.940	6.810	6.706	6.803	6.862	7.004	6.595	6.712	6.998	6.888	6.784	6.667	6.517	6.836	6.530	6.803	6.517	6.654	6.654	6.654	6.543	6.543	6.413	6.660	6.680	6.498	6.647	6.550	6.276	6.576	6.738	6.777	6.556	6.413	6.667	6.406	6.459	6.693	6.374	6.387	6.361	6.452	6.367	6.393	6.524	6.543	6.452	6.543	6.849	6.439	6.634	6.602	6.543	6.608	6.615	6.530	6.738	6.432	6.550	6.719	6.985	6.810	6.693	6.784	6.615	6.446	6.432	6.667	6.485	6.582	6.615	6.686	6.563	6.485	6.446	6.647	6.797	6.608	6.576	6.660	6.406	6.751	6.615	6.537	6.777	6.660	6.602	6.816	6.771	6.628	6.953	7.405	7.489	7.437	7.592	7.211	7.766	7.373	7.173	7.624	7.534	7.437	7.868	7.482
13.122	13.183	13.122	13.140	13.080	12.861	11.271	9.560	8.316	7.656	7.308	6.823	6.706	6.758	6.335	6.615	6.452	6.361	6.406	6.803	6.647	6.660	6.608	7.004	8.253	9.981	10.744	11.017	10.868	10.407	10.257	9.969	9.054	8.265	8.323	7.798	7.637	7.637	7.140	7.515	7.804	7.502	7.669	7.360	7.457	7.405	7.315	7.276	7.004	7.186	7.289	7.089	7.043	6.784	7.043	7.121	7.147	7.037	6.758	6.745	6.946	7.037	6.998	6.927	6.784	6.660	6.868	6.868	6.530	6.725	6.595	6.621	6.582	6.764	6.576	6.719	6.654	6.745	6.732	6.615	6.556	6.498	6.178	6.237	6.341	6.204	6.335	6.276	6.406	6.113	6.569	6.198	6.517	6.569	6.361	6.459	6.158	6.354	6.725	6.309	6.771	6.406	6.543	6.511	6.693	6.829	6.699	6.712	6.628	6.282	6.673	6.595	6.276	7.030	6.965	7.224	7.089	6.978	6.803	6.374	6.576	6.563	6.706	6.439	6.634	6.608	6.725	6.667	6.621	6.504	6.875	6.439	6.790	6.686	6.719	6.419	6.641	6.504	6.504	6.348	6.673	6.537	6.472	6.868	6.654	6.712	6.868	7.211	7.868	7.101	7.347	7.037	7.321	7.237	7.295	7.798	7.778	7.579	7.932	7.759
13.764	14.083	14.311	13.993	13.824	14.005	11.457	9.591	8.756	7.579	7.270	7.321	6.836	6.933	6.732	6.745	6.790	7.276	7.114	6.940	6.706	7.024	6.836	7.450	7.198	7.295	7.733	7.920	8.054	7.997	8.118	7.830	7.663	7.701	7.386	7.540	7.366	7.179	7.224	7.482	7.173	7.276	6.978	7.069	6.745	7.030	6.732	6.972	6.829	6.927	6.953	7.121	6.615	6.777	7.024	7.250	7.063	7.173	7.121	7.101	7.127	7.089	7.540	6.978	6.985	6.965	6.790	6.907	6.875	6.868	6.628	6.517	6.751	6.582	6.764	6.985	6.615	6.602	6.706	6.920	6.862	6.537	6.602	6.152	6.230	6.243	6.204	6.608	6.269	6.237	6.093	6.295	6.348	6.485	6.504	6.608	6.335	6.485	6.413	6.771	6.543	6.309	6.511	6.563	6.595	6.628	6.595	6.393	6.498	6.699	6.706	6.699	6.485	6.660	7.127	7.334	7.257	7.211	6.998	6.933	6.608	6.706	6.836	6.485	6.406	6.699	7.030	6.628	6.354	6.693	6.563	6.784	6.602	6.647	6.647	6.446	6.849	6.615	6.686	6.524	6.693	6.686	6.660	6.654	6.680	6.699	6.771	7.211	7.386	7.153	7.140	6.991	7.476	7.089	7.347	7.444	7.804	7.817	8.137	7.766
14.574	14.227	14.257	14.197	13.582	13.116	12.483	10.980	9.497	8.839	9.054	8.336	8.278	7.695	7.476	7.321	7.579	7.186	7.328	7.276	7.063	6.888	6.647	6.894	7.218	7.037	7.140	7.489	7.759	7.328	7.237	7.450	7.353	7.127	6.991	7.063	6.972	6.706	6.888	6.959	7.043	6.777	6.920	6.965	6.803	6.764	6.576	7.017	6.894	6.790	6.901	6.667	6.699	6.777	6.498	6.660	6.836	6.608	6.907	6.459	6.751	6.914	6.517	6.784	6.654	6.654	6.641	6.712	6.654	6.764	6.991	6.836	6.842	7.017	6.972	6.972	6.797	6.654	6.777	6.959	6.667	6.361	6.582	6.439	6.276	6.198	6.361	6.276	6.419	6.374	6.686	6.589	6.582	6.302	6.295	6.491	6.602	6.563	6.478	6.413	6.530	6.550	6.595	6.595	6.550	6.537	6.654	6.706	6.602	6.608	6.686	6.524	6.615	6.602	7.043	7.114	7.366	7.412	7.082	7.069	7.056	6.543	6.927	6.550	6.595	7.017	6.810	6.589	6.667	6.790	6.602	6.608	6.530	6.823	6.725	6.712	6.524	6.764	6.641	6.589	6.485	6.608	6.628	6.660	6.823	6.582	7.095	7.418	7.218	7.392	7.470	7.224	7.817	7.798	7.650	7.862	7.721	8.105	7.952	7.965
12.818	12.593	12.501	11.481	11.060	10.382	9.427	9.282	9.042	8.176	8.137	7.669	7.791	7.211	7.624	7.560	7.437	7.637	7.495	7.424	7.108	6.965	6.920	6.953	7.017	6.751	6.849	7.276	6.940	6.953	6.998	7.153	6.914	6.751	6.699	6.965	6.634	6.946	7.024	6.751	6.907	6.875	6.823	6.927	6.771	6.686	6.667	6.771	6.602	6.498	6.361	6.256	6.335	6.602	6.816	6.634	6.608	6.764	6.485	6.667	6.354	6.693	6.680	6.771	6.881	7.089	6.615	6.816	7.030	6.790	7.186	7.186	7.244	6.823	6.933	6.985	7.211	6.797	6.602	6.602	6.595	6.563	6.686	6.537	6.243	6.543	6.027	6.224	6.158	6.393	6.269	6.589	6.361	6.589	6.602	6.608	6.459	6.478	6.491	6.634	6.426	6.556	6.595	6.335	6.348	6.550	6.686	6.764	6.751	6.803	6.758	6.504	6.738	6.758	6.511	7.250	7.192	7.373	6.894	6.764	6.667	6.790	6.777	6.647	6.888	6.732	6.719	6.751	6.602	6.712	6.706	6.628	6.511	6.719	6.563	6.615	6.569	6.712	6.868	7.011	7.121	7.353	7.334	7.140	7.056	6.868	6.738	7.237	7.289	7.489	8.009	7.431	7.888	7.862	7.379	7.418	7.843	7.932	7.759	7.470
9.016	8.858	8.775	8.985	8.297	8.533	8.195	8.131	7.753	7.798	7.450	7.160	7.134	7.412	7.089	7.276	6.998	6.991	6.842	6.972	7.076	6.849	6.888	6.771	6.875	6.875	6.738	6.842	6.751	6.888	7.004	7.069	6.758	6.790	7.076	6.998	6.875	6.927	7.321	7.334	6.803	6.667	6.810	6.400	6.322	6.309	6.132	6.269	6.152	6.198	6.276	6.393	6.093	6.067	6.211	6.673	6.725	6.641	6.524	6.725	6.400	6.465	6.706	6.732	6.836	6.965	6.790	6.914	6.959	6.712	7.140	7.295	7.295	6.888	6.803	7.043	7.192	7.379	7.308	6.654	6.589	6.803	6.732	6.693	6.400	6.034	6.393	6.432	6.367	6.491	6.419	6.680	6.491	6.498	6.446	6.634	6.406	6.400	6.478	6.472	6.576	6.764	6.419	6.269	6.250	6.374	6.569	6.615	6.712	6.563	6.459	6.472	6.491	6.732	6.732	6.810	7.444	7.353	6.894	6.673	6.810	6.933	6.823	6.855	7.030	6.810	6.738	6.829	6.758	6.699	6.699	6.680	6.712	6.907	6.855	6.965	7.714	8.061	8.724	9.042	8.444	7.733	7.573	7.650	7.186	7.082	6.810	7.056	7.495	7.804	7.939	7.153	8.368	7.830	7.573	7.334	7.650	7.624	7.566	7.263
7.521	7.817	7.663	7.714	7.862	7.515	7.211	7.315	7.418	7.373	7.127	6.868	6.751	6.797	6.888	7.030	6.959	7.011	6.888	6.855	6.842	6.686	6.816	6.712	6.751	6.946	6.738	6.784	6.790	6.432	6.634	6.504	6.537	6.413	6.335	6.589	6.341	6.256	6.478	6.106	6.419	6.067	6.589	6.198	6.224	6.335	6.139	5.877	6.419	6.021	6.276	6.080	6.263	6.139	6.282	6.439	6.784	6.563	6.595	6.472	6.608	6.419	6.563	6.660	6.732	7.108	7.017	6.829	7.011	6.998	7.270	7.592	7.489	6.998	7.186	7.173	7.108	7.360	7.153	6.920	6.855	6.849	6.550	6.550	6.459	6.556	6.295	6.524	6.256	6.335	6.589	6.673	6.862	6.660	6.686	6.849	6.725	6.667	6.498	6.491	6.784	6.550	6.511	6.608	6.426	6.563	6.628	6.361	6.712	6.777	6.563	6.556	6.615	6.491	6.250	6.517	7.237	7.444	7.341	6.946	6.810	6.946	6.868	6.907	7.173	7.592	7.939	7.804	7.753	7.945	8.061	7.817	7.823	7.521	7.733	9.219	9.642	9.434	9.130	8.953	8.419	8.144	7.515	7.308	7.011	6.953	7.095	7.405	7.579	7.289	7.566	7.476	8.029	7.463	7.482	7.624	7.476	7.540	7.366	7.347
7.476	7.218	7.489	7.173	7.334	7.063	7.295	6.881	7.037	6.972	6.647	6.953	6.771	6.712	6.959	6.706	6.517	6.641	6.868	6.901	6.978	6.459	6.758	6.738	6.725	6.875	6.647	6.920	6.875	6.335	6.517	6.348	6.647	6.191	6.217	6.184	6.446	6.230	6.211	6.132	5.955	6.230	6.230	6.282	6.256	6.367	6.152	6.269	6.595	6.171	6.041	6.034	6.276	6.145	6.256	6.524	7.101	6.797	6.712	6.621	6.699	6.543	6.269	6.680	6.810	6.927	7.424	6.959	7.134	6.862	6.784	6.680	7.282	7.257	7.179	7.140	7.328	7.405	7.386	6.901	6.706	6.965	6.738	6.777	6.712	6.367	6.211	6.341	6.595	6.282	6.348	6.498	6.621	6.556	6.751	6.550	6.602	6.589	6.556	6.725	6.452	6.406	6.295	6.582	6.725	6.171	6.387	6.485	6.250	6.719	6.608	6.328	6.446	6.341	6.426	6.530	6.732	7.153	7.192	7.114	7.244	7.095	6.901	6.985	7.166	8.966	9.617	10.006	9.849	10.376	10.332	9.257	8.769	7.669	7.721	9.219	9.711	9.219	8.845	9.232	8.278	7.759	7.347	7.224	6.855	6.751	7.004	7.373	7.082	7.573	7.244	7.024	7.650	7.579	7.270	7.321	7.237	7.328	7.017	6.933
7.166	6.959	6.978	6.563	6.946	6.849	6.940	6.608	7.121	6.745	7.030	6.953	6.745	6.991	6.972	7.263	6.933	6.719	6.563	6.543	6.439	6.432	6.295	6.361	6.706	6.706	6.777	6.732	6.569	6.446	6.504	6.563	6.335	6.380	6.080	6.426	6.302	6.243	5.890	6.446	6.067	6.171	6.393	6.230	6.086	6.113	6.099	6.184	6.335	6.256	6.204	6.335	6.217	6.204	6.093	6.302	6.367	6.530	6.589	6.907	6.771	6.530	6.387	6.400	6.602	6.680	6.978	7.179	6.849	6.972	6.985	7.069	7.101	7.179	7.121	6.953	6.797	7.218	7.431	7.011	7.063	6.771	6.816	6.810	6.472	6.400	6.282	6.139	6.165	6.621	6.132	6.621	6.524	6.771	6.550	6.602	6.706	6.823	6.771	6.426	6.524	6.491	6.446	6.673	6.400	6.543	6.393	6.328	6.132	6.491	6.485	6.367	6.367	6.602	6.517	6.673	7.082	7.521	7.108	6.901	7.030	7.231	6.862	7.101	7.095	8.673	9.168	10.069	10.176	9.831	9.975	9.016	8.387	7.637	7.778	8.718	9.080	9.554	8.597	8.699	7.823	7.540	7.043	7.224	7.101	7.069	7.004	7.095	7.186	7.231	7.069	6.965	7.076	6.914	7.198	6.881	6.894	7.153	6.894	7.127
